Time (h), Air temperature1 (degC)
1,5.1
2,4.1
3,3.7
4,3.5
5,3
6,2.8
7,3.2
8,4.5
9,7
10,9.2
11,9.5
12,9
13,8.5
14,8.2
15,8.2
16,7.7
17,7
18,5.8
19,5.8
20,6
21,3.6
22,4.1
23,1.8
24,0.2
25
26,0.5
27,1.2
28,-0.3
29,-0.8
30,-0.5
31,0.4
32,1.5
33,3.2
34,5.2
35,6.2
36,4.3
37,5
38,6.4
39,5.9
40,4.1
41,2.9
42,1.3
43,2
44,3
45,3
46,1.7
47,3.6
48,2.9
49,3.3
50,3.1
51,2.7
52,2.5
53,2.1
54,1.6
55,1.2
56,1.3
57,2.1
58,3.6
59,4.1
60,4.5
61,4.8
62,4.7
63,4.2
64,3
65,-0.8
66,0.6
67,1.2
68,0.7
69,-2.7
70,-3.7
71,-4.5
72,-4.9
73,-5.5
74,-5.5
75,-6
76,-6.6
77,-7
78,-6.8
79,-4
80,-1.2
81,3.6
82,5.4
83,6.2
84,6
85,6.4
86,5.4
87,5.3
88,2.8
89,-0.6
90,0.5
91,-0.5
92,-0.3
93,1.5
94,0.3
95,0.7
96,0.3
97,-1.4
98,0.2
99,0.9
100,0.1
101,0.4
102,0.8
103,1.1
104,0.9
105,0.4
106,1.1
107,2.3
108,4.1
109,6.1
110,6.8
111,7.5
112,7.7
113,7.5
114,7.5
115,7.5
116,7.5
117,7.5
118,7.7
119,9.1
120,9.2
121,7.9
122,7.9
123,7.7
124,7.3
125,2.5
126,2.3
127,3.2
128,5.5
129,6.5
130,7.1
131,7.8
132,7.8
133,7.7
134,7.7
135,6.9
136,6
137,4.9
138,4.2
139,4
140,3.2
141,2.1
142,-0.7
143,0.2
144,-1.7
145,-2.7
146,-3
147,-3.8
148,-3.9
149,-3.1
150,-2.7
151,-2.9
152,-1.5
153,1.7
154,5.4
155,5.5
156,6.1
157,6.2
158,5.7
159,5.1
160,2.7
161,-0.5
162,-1.6
163,-2.1
164,-2.6
165,-2.4
166,-2.4
167,-1.9
168,-2.1
169,-2.3
170,-2.1
171,-2.1
172,-2.5
173,-1.8
174,-2.8
175,-2.3
176,-0.4
177,2.3
178,3.6
179,4.4
180,4.9
181,5.3
182,4.5
183,3.8
184,3.5
185,3.7
186,4.4
187,4.8
188,5.1
189,5.3
190,3.9
191,3.7
192,3.2
193,1.7
194,2.9
195,3.8
196,4.7
197,4.4
198,4.4
199,4.4
200,5.1
201,5.6
202,6.4
203,7
204,7.4
205,8.3
206,9.1
207,8.5
208,8.1
209,7.1
210,6.4
211,6.7
212,6.3
213,7.4
214,7.5
215,6
216,6.1
217,5.8
218,7
219,7.2
220,6.3
221,6.8
222,6.6
223,7.3
224,7.6
225,8.8
226,9.1
227,9.3
228,9.3
229,8.8
230,8.7
231,7.5
232,6.9
233,4.9
234,5.2
235,5.2
236,3.9
237,2.8
238,4.3
239,3.6
240,4
241,3.8
242,3.9
243,4.3
244,5
245,6.1
246,5.6
247,4.5
248,6
249,8.1
250,9.3
251,10.7
252,11.7
253,9.8
254,10.1
255,9.2
256,8.8
257,8.7
258,8.7
259,8.7
260,8.7
261,8.9
262,8.9
263,9
264,9.2
265,9.6
266,9.6
267,9.7
268,9.5
269,9.4
270,9.5
271,9.4
272,9.5
273,9.6
274,9.5
275,9.8
276,1
277,10.5
278,10.5
279,10.3
280,10.3
281,10.4
282,9.3
283,9.2
284,8.9
285,8.4
286,7.2
287,8.1
288,9
289,8.8
290,9.4
291,9.6
292,9.8
293,9.9
294,1
295,10.4
296,10.8
297,11.6
298,11.8
299,12.2
300,12.9
301,13.3
302,13.8
303,13.7
304,12.4
305,13.3
306,13.4
307,12.9
308,13.9
309,14.1
310,14.4
311,14.7
312,14.9
313,13.2
314,12.5
315,12.2
316,12.2
317,11.9
318,12
319,13
320,16.6
321,17.6
322,18.1
323,18.7
324,18.9
325,19.5
326,20.3
327,18.5
328,17.2
329,16.3
330,15.8
331,15.4
332,14
333,13
334,12.1
335,12.4
336,11.6
337,11.4
338,10.5
339,9.6
340,9.3
341,9.1
342,10.4
343,10.6
344,11.8
345,12.4
346,12.6
347,12.2
348,11.4
349,11.2
350,10.6
351,1
352,9.4
353,9
354,8.7
355,8.6
356,8.5
357,8.2
358,8.1
359,7.9
360,8
361,7.9
362,7.9
363,8.2
364,8.4
365,8.3
366,8.1
367,7.7
368,6.8
369,8.2
370,8.6
371,9.3
372,9.2
373,8.8
374,7.9
375,7.7
376,6.5
377,4.9
378,5
379,5.9
380,6.2
381,5.3
382,3.9
383,3.1
384,2
385,1.3
386,1.7
387,2.2
388,1.8
