Time (h),Temperature (degC)
0,7.9999960140795485
1,8.011802366536596
2,8.02104436701024
3,8.033473068165911
4,8.047492284604198
5,8.061989758233326
6,8.076713292021383
7,8.091436825809529
8,8.106769170707512
9,8.126048631800577
10,8.14532809289364
11,8.16460755398683
12,8.183887015080158
13,8.203166476173184
14,8.222445937266334
15,8.241759070590907
16,8.261824923073497
17,8.28189077555613
18,8.301956628038694
19,8.322022480521436
20,8.342088333004002
21,8.362154185486572
22,8.38222003796922
23,8.402285890451843
24,8.422351742934474
25,8.442417595417055
26,8.462483447899691
27,8.48254930038247
28,8.502615152864974
29,8.522681005347565
30,8.54244259088135
31,8.56215513547261
32,8.581867680063798
33,8.601580224655
34,8.621292769246416
35,8.641005313837859
36,8.660717858429043
37,8.680430403020296
38,8.700142947611573
39,8.719855492202877
40,8.739568036794251
41,8.759280581385587
42,8.778993125976754
43,8.798705670567974
44,8.81723699925256
45,8.83521136530573
46,8.85318573135884
47,8.871160097412243
48,8.88913446346541
49,8.907108829518666
50,8.925083195571927
51,8.943057561625212
52,8.961031927678356
53,8.97900629373162
54,8.996980659784995
55,9.014955025838116
56,9.032929391891399
57,9.05090375794471
58,9.068878123997834
59,9.086852490051196
60,9.104826856104294
61,9.1228012221576
62,9.140775588211019
63,9.158749954264152
64,9.176724320317385
65,9.19469868637068
66,9.212673052423932
67,9.230647418477249
68,9.248621784530261
69,9.266596150583744
70,9.284570516636943
71,9.302544882690084
72,9.320383840268065
73,9.337930136770986
74,9.355476433273951
75,9.373022729776716
76,9.390569026279497
77,9.408115322782411
78,9.4256616192853
79,9.44320791578816
80,9.460754212291125
81,9.478300508794103
82,9.49584680529694
83,9.513393101799913
84,9.530939398302671
85,9.548485694805565
86,9.566031991308405
87,9.583578287811402
88,9.601124584314068
89,9.61867088081715
90,9.636217177319931
91,9.653763473822858
92,9.67130977032568
93,9.688856066828498
94,9.706402363331405
95,9.723948659834134
96,9.7414949563372
97,9.75904125284005
98,9.776587549342869
99,9.794133845845803
100,9.811680142348555
101,9.82813951048913
102,9.844545364476936
103,9.860951218464638
104,9.877357072452293
105,9.893762926440074
106,9.910168780427684
107,9.926574634415141
108,9.942980488403066
109,9.959386342390687
110,9.975792196378253
111,9.992198050365852
112,10.008603904353677
113,10.025009758341447
114,10.041415612329002
115,10.057821466316582
116,10.07422732030438
117,10.090633174292027
118,10.107039028279791
119,10.123444882267506
120,10.139850736255154
121,10.156256590242878
122,10.172662444230507
123,10.189068298218274
124,10.205474152206008
125,10.2218800061937
126,10.238285860181138
127,10.254691714168874
128,10.27109756815671
129,10.287503422144145
130,10.303909276131684
131,10.320315130119644
132,10.33672098410723
133,10.353126838094946
134,10.369532692082625
135,10.385938546070388
136,10.402344400058006
137,10.41875025404572
138,10.435156108033446
139,10.451561962021062
140,10.46796781600861
141,10.484373669996293
142,10.500779523984166
143,10.517185377971758
144,10.5335912319596
145,10.54999708594696
146,10.566402939934838
147,10.582808793922467
148,10.59921464791018
149,10.615620501897824
150,10.632026355885431
151,10.648432209873244
152,10.664838063860975
153,10.68124391784856
154,10.697649771836327
155,10.714055625823912
156,10.730461479811721
157,10.746531390273853
158,10.761454579111613
159,10.776377767949612
160,10.791300956787696
161,10.806224145625727
162,10.821147334463756
163,10.836070523301618
164,10.850993712139601
165,10.865916900977739
166,10.88084008981573
167,10.895763278653746
168,10.910686467491734
169,10.925609656329641
170,10.940532845167548
171,10.955456034005602
172,10.970379222843722
173,10.985302411681655
174,11.00022560051963
175,11.015148789357617
176,11.030071978195624
177,11.044995167033745
178,11.059918355871613
179,11.074841544709669
180,11.089764733547648
181,11.104687922385589
182,11.1196111112236
183,11.134534300061677
184,11.149457488899719
185,11.164380677737588
186,11.179303866575466
187,11.1942270554136
188,11.209150244251637
189,11.224073433089437
190,11.238996621927543
191,11.253919810765565
192,11.2688429996037
193,11.283766188441472
194,11.29868937727959
195,11.313612566117387
196,11.328535754955388
197,11.343458943793443
198,11.358382132631522
199,11.373305321469402
200,11.388228510307446
201,11.403151699145315
202,11.418074887983595
203,11.432998076821491
204,11.44792126565953
205,11.462844454497475
206,11.477767643335476
207,11.492690832173459
208,11.507614021011392
209,11.522537209849398
210,11.537460398687443
211,11.552383587525464
212,11.567306776363367
213,11.582229965201362
214,11.597153154039283
215,11.612076342877284
216,11.62699953171523
217,11.641922720553387
218,11.656845909391338
219,11.671769098229353
